이름,연락처,성별,직렬,지역,나이,필기성적,조
정시우,010-1784-0001,남,일반,대구,28,200.0,
하민준,010-1973-0002,남,경채,대구,32,232.6,
구동훈,010-7265-0003,남,일반,부산,23,216.3,
차준호,010-4767-0004,남,경채,대구,32,,
유상현,010-5738-0005,남,일반,경북,21,221.9,
최예준,010-3091-0006,남,일반,경북,26,212.4,
안태양,010-2897-0007,남,일반,인천,32,209.5,
전성현,010-7341-0008,남,경채,대구,20,,
원혜진,010-2307-0009,여,법무회계,경기,32,194.4,
곽소윤,010-8986-0010,여,경채,충남,32,232.0,
차지훈,010-2972-0011,남,경채,전남,31,239.8,
노민준,010-7204-0012,남,경행,대구,29,182.8,
조동현,010-4019-0013,남,일반,대구,25,243.4,
임성민,010-4035-0014,남,경행,경북,22,242.3,
노동훈,010-3084-0015,남,경채,대구,22,238.8,
최동훈,010-3645-0016,남,경채,대구,27,223.3,
원지우,010-7880-0017,여,경채,대구,24,,
정시현,010-3005-0018,남,일반,경북,27,247.7,
남다인,010-1793-0019,여,일반,경북,20,225.7,
전수아,010-1634-0020,여,법무회계,대구,27,,
허지후,010-9330-0021,남,경행,경북,22,218.5,
전민호,010-6484-0022,남,경채,대구,32,225.9,
진재원,010-4419-0023,남,사이버,대구,24,226.7,
현지후,010-4486-0024,남,법무회계,대구,27,239.6,
백세진,010-1019-0025,남,일반,대구,27,182.3,
성지훈,010-8287-0026,남,일반,경북,24,193.5,
민시현,010-2795-0027,남,경채,대구,32,208.6,
안시우,010-5485-0028,남,법무회계,제주,20,200.5,
주수빈,010-6362-0029,여,일반,대구,22,243.7,
하태민,010-2160-0030,남,일반,강원,32,,
송성민,010-1332-0031,남,경채,경북,21,222.8,
송민지,010-7329-0032,여,사이버,경북,27,,2
방지원,010-1518-0033,여,일반,충남,32,232.5,
류다인,010-7098-0034,여,일반,경북,27,192.3,
허시현,010-6572-0035,남,경채,대구,26,225.4,
주수호,010-3810-0036,남,사이버,경북,23,195.2,
허승민,010-7558-0037,남,101경비단,경북,28,223.5,
천동현,010-5087-0038,남,경행,경북,24,236.5,
장유진,010-4193-0039,여,경채,경북,27,185.3,
황유준,010-5465-0040,남,경행,대구,24,217.2,
김시현,010-7382-0041,남,경채,울산,27,217.1,
서현우,010-5026-0042,남,일반,경북,24,,
차소윤,010-8456-0043,여,법무회계,대구,31,232.8,
진민준,010-1873-0044,남,일반,대구,26,190.3,
유지우,010-7670-0045,여,일반,부산,30,232.4,
현민호,010-7764-0046,남,경행,경북,23,227.6,
황예준,010-8588-0047,남,경채,경북,26,242.0,
홍하준,010-6269-0048,남,101경비단,경북,27,238.7,
류지호,010-6397-0049,남,법무회계,대구,24,227.7,
공민서,010-8510-0050,여,법무회계,경남,27,182.6,
지채은,010-7588-0051,여,일반,서울,26,204.0,
공지후,010-2404-0052,남,일반,경북,25,200.7,
이지원,010-9085-0053,여,일반,경북,30,242.7,
강준혁,010-3847-0054,남,일반,대구,28,,
주예은,010-8023-0055,여,사이버,부산,23,206.4,
조준영,010-3601-0056,남,일반,경북,20,,
하도윤,010-1529-0057,남,일반,대구,31,241.8,
배현수,010-1942-0058,남,경채,충북,29,198.0,
류수아,010-2270-0059,여,경행,대구,29,184.2,
유재원,010-9873-0060,남,경채,서울,29,208.7,
박서연,010-7058-0061,여,일반,대구,32,191.4,
배도현,010-1051-0062,남,경채,대구,23,,
신민준,010-5413-0063,남,인사,광주,21,206.8,
손나은,010-7446-0064,여,사이버,제주,25,195.7,
곽현우,010-2145-0065,남,사이버,경북,23,,
김지후,010-2518-0066,남,일반,경북,31,205.5,
고재원,010-4094-0067,남,경채,세종,21,206.6,
전주원,010-3205-0068,남,일반,충북,29,,
신정우,010-8029-0069,남,경채,대구,27,232.6,
심도윤,010-4529-0070,남,인사,울산,21,,
전채은,010-2677-0071,여,법무회계,대구,24,229.2,
정정우,010-1427-0072,남,일반,경북,29,,
신혜진,010-6488-0073,여,경채,세종,22,,
임세진,010-1887-0074,남,경채,대구,27,212.9,
천태양,010-9413-0075,남,경채,경북,23,,
방준서,010-5132-0076,남,경행,경북,21,226.3,
장준혁,010-7210-0077,남,일반,부산,27,182.1,
오준영,010-8079-0078,남,101경비단,경북,31,206.4,
윤동훈,010-8774-0079,남,경채,대구,21,,
곽민호,010-2952-0080,남,일반,경북,20,247.8,
한예은,010-7482-0081,여,법무회계,충북,32,230.7,
최성현,010-2261-0082,남,일반,경북,22,181.4,
정우진,010-5336-0083,남,경채,대구,31,,
주미진,010-8142-0084,여,경행,대구,29,192.1,
권서연,010-3158-0085,여,일반,경북,32,,
박지훈,010-2516-0086,남,일반,대구,30,210.4,
안민호,010-8462-0087,남,법무회계,부산,22,228.9,
전기현,010-9581-0088,남,법무회계,경북,28,182.4,
진하윤,010-5087-0089,여,사이버,충북,31,233.6,1
성하준,010-5938-0090,남,일반,서울,28,196.2,
송재민,010-4268-0091,남,101경비단,경북,29,197.2,
서소율,010-3223-0092,여,경행,대구,22,185.1,
조하나,010-8601-0093,여,경행,경북,28,237.2,
황채은,010-4174-0094,여,일반,경북,21,224.3,
허재원,010-1040-0095,남,일반,대전,23,,
이태민,010-6883-0096,남,법무회계,대구,25,222.3,
임소윤,010-5219-0097,여,일반,경기,30,193.0,
곽주원,010-3334-0098,남,경채,경북,26,206.9,
김지호,010-8910-0099,남,101경비단,대구,25,,
남준영,010-9326-0100,남,경채,경북,27,189.2,
곽유나,010-2475-0101,여,경채,대구,32,186.9,
양유준,010-3345-0102,남,일반,경북,20,238.9,
최지연,010-2632-0103,여,사이버,부산,26,190.4,
지태민,010-6777-0104,남,경채,대구,22,,
우승민,010-9960-0105,남,경행,울산,27,228.2,
노승현,010-6239-0106,남,일반,강원,26,,
한우진,010-9241-0107,남,일반,대구,32,222.5,
손기현,010-7223-0108,남,사이버,경북,28,246.2,
이하나,010-7479-0109,여,일반,광주,22,180.9,
엄상현,010-2599-0110,남,경행,대구,31,,
허소영,010-3252-0111,여,경행,경북,27,,
양동훈,010-1207-0112,남,경채,충북,32,205.4,
배시현,010-5029-0113,남,일반,경북,23,228.0,
신수호,010-8666-0114,남,일반,경북,28,,
성민호,010-1486-0115,남,법무회계,대구,32,,
구승현,010-9346-0116,남,경채,대구,25,241.6,
홍준영,010-9946-0117,남,일반,충남,32,205.8,
정승현,010-2180-0118,남,101경비단,대구,23,,
노태양,010-4096-0119,남,사이버,경북,25,196.6,
이태현,010-7398-0120,남,인사,경북,26,237.6,
노재민,010-3497-0121,남,일반,경북,28,196.2,
지준서,010-7900-0122,남,경채,경북,32,190.6,3
이도현,010-5612-0123,남,일반,대구,28,234.6,
홍동훈,010-2023-0124,남,경채,경북,32,218.8,
오수빈,010-7213-0125,여,일반,경북,26,,
문하윤,010-7147-0126,여,경행,경북,27,,
강지아,010-8533-0127,여,경행,경기,30,233.1,
유승현,010-4334-0128,남,사이버,전남,30,237.7,
현기현,010-4530-0129,남,경채,경북,20,248.8,
엄예린,010-6448-0130,여,일반,경북,22,244.8,
현정우,010-8061-0131,남,일반,경북,24,,
천소윤,010-3777-0132,여,101경비단,서울,28,203.0,
남우진,010-4461-0133,남,경채,대구,28,227.3,
최민재,010-6227-0134,남,사이버,대구,21,242.3,
한승민,010-7602-0135,남,사이버,경북,27,,
박현우,010-6273-0136,남,일반,대구,21,226.9,
윤동훈,010-1550-0137,남,경채,경북,26,184.8,
지재원,010-8468-0138,남,일반,경북,21,225.7,2
방승현,010-7819-0139,남,일반,경북,28,,5
천태양,010-9250-0140,남,101경비단,경북,21,245.8,
우시현,010-7914-0141,남,법무회계,대구,32,224.8,
현소영,010-9123-0142,여,일반,경북,32,204.4,
허동현,010-7539-0143,남,경행,경북,23,208.9,
고주원,010-7053-0144,남,경행,대구,23,,
현지호,010-1158-0145,남,경채,경북,23,,
하지후,010-5678-0146,남,101경비단,경북,23,247.4,
진승민,010-5067-0147,남,일반,대구,22,237.6,
안주원,010-9923-0148,남,경채,경북,31,208.8,
차재민,010-7120-0149,남,일반,경북,24,207.1,
지유준,010-8308-0150,남,경채,부산,21,244.7,
서민호,010-5875-0151,남,일반,충남,28,239.9,
현성민,010-7848-0152,남,일반,경북,32,226.5,
박기현,010-7855-0153,남,일반,광주,28,248.7,
차하린,010-4964-0154,여,일반,인천,22,,
손유진,010-7889-0155,여,경행,경북,25,236.2,
고서준,010-1843-0156,남,경채,경북,32,221.4,
강하준,010-1791-0157,남,일반,대구,28,,
권건우,010-6224-0158,남,경채,경북,29,218.8,
현준서,010-9493-0159,남,101경비단,대구,22,237.1,
천서준,010-4315-0160,남,인사,대구,24,205.6,
원예린,010-3720-0161,여,경채,대구,25,185.6,
배주원,010-8141-0162,남,일반,세종,27,207.2,
한지유,010-7196-0163,여,경채,대구,32,211.6,
박하영,010-6031-0164,여,경채,대구,30,220.3,
주다인,010-4910-0165,여,경채,울산,24,,
장세진,010-2932-0166,남,경행,경북,24,233.5,
현도현,010-1927-0167,남,경채,서울,28,217.4,
이민지,010-9281-0168,여,일반,경북,25,207.7,
황준영,010-5803-0169,남,경채,경북,23,236.2,
지현우,010-7359-0170,남,일반,대구,23,,
고민준,010-6655-0171,남,경채,대전,27,199.5,
윤승현,010-5785-0172,남,법무회계,경북,25,198.2,
고영민,010-1253-0173,남,일반,경북,21,,
안승현,010-7618-0174,남,경채,광주,22,242.3,
지다인,010-2360-0175,여,경채,경북,31,231.3,
양승민,010-2036-0176,남,경채,경북,23,198.1,
심민서,010-2918-0177,여,법무회계,경북,27,233.1,
강승현,010-1691-0178,남,일반,경북,21,231.3,
성하은,010-9684-0179,여,경행,경북,20,225.4,
박현수,010-1305-0180,남,사이버,대구,24,233.5,
정성민,010-5424-0181,남,일반,경북,25,246.8,
박재민,010-2593-0182,남,법무회계,대구,23,,
전하나,010-4965-0183,여,법무회계,세종,26,213.1,
안나은,010-9440-0184,여,인사,대구,20,204.9,
권동훈,010-4584-0185,남,법무회계,전남,21,205.5,
문우진,010-8948-0186,남,일반,대구,28,240.5,1
심도현,010-2111-0187,남,일반,세종,25,247.1,
이준서,010-3585-0188,남,일반,경북,26,,
윤재민,010-1007-0189,남,일반,강원,31,235.9,
방준서,010-8810-0190,남,경행,대구,21,,
허도현,010-9503-0191,남,경행,대구,20,195.3,
백하준,010-7341-0192,남,일반,경북,25,206.7,
전지호,010-7348-0193,남,사이버,대구,30,198.2,
지현우,010-7075-0194,남,일반,대구,32,185.9,
전준서,010-7270-0195,남,법무회계,경북,26,192.8,
채건우,010-1829-0196,남,경채,대구,20,233.5,
공승민,010-7687-0197,남,일반,경북,25,218.1,
윤지후,010-2139-0198,남,일반,세종,21,214.8,
최지훈,010-7645-0199,남,일반,부산,32,212.3,
손소영,010-6054-0200,여,일반,경북,28,184.1,
공현수,010-5658-0201,남,경행,대구,22,,
백우진,010-8967-0202,남,일반,경북,26,,
엄채원,010-3471-0203,여,인사,세종,29,190.4,
하상현,010-7512-0204,남,경채,대구,29,181.2,
정동훈,010-2022-0205,남,경채,서울,29,211.1,
노하린,010-2826-0206,여,경행,충남,23,184.6,
정승현,010-9577-0207,남,일반,대구,32,242.6,
이하영,010-9457-0208,여,경채,대구,25,,
장준혁,010-1644-0209,남,101경비단,전북,24,213.3,
양준호,010-3265-0210,남,경채,대구,27,221.7,
한채은,010-6217-0211,여,일반,경북,29,191.1,
천건우,010-3293-0212,남,경채,충남,30,209.7,
방도윤,010-1144-0213,남,경채,대구,32,245.0,
채준혁,010-5824-0214,남,경채,대구,25,225.9,
조시우,010-8101-0215,남,일반,충남,28,225.8,
조도현,010-9486-0216,남,경채,경북,31,,
김정우,010-7537-0217,남,법무회계,경남,21,,
고서현,010-5865-0218,여,101경비단,경북,32,247.8,
성민서,010-5588-0219,여,경채,전북,26,240.0,
심준서,010-8803-0220,남,경채,전남,27,,4
심지후,010-6166-0221,남,일반,대구,31,243.6,
현기현,010-9364-0222,남,101경비단,경북,29,197.5,
홍예린,010-7416-0223,여,경채,대구,25,245.9,
송세진,010-4121-0224,남,일반,대구,25,249.3,
심시현,010-7972-0225,남,일반,대구,32,,
박준서,010-4068-0226,남,사이버,경북,22,194.6,3
우하나,010-6268-0227,여,일반,경북,25,,
송승현,010-9649-0228,남,101경비단,경북,22,188.7,
홍태민,010-8387-0229,남,경행,경북,31,226.7,
한유준,010-4648-0230,남,인사,대구,28,208.4,
구서연,010-8421-0231,여,101경비단,울산,22,210.1,
임하은,010-6217-0232,여,경채,경북,21,212.1,
허준호,010-3395-0233,남,경채,대구,31,202.2,
전동훈,010-5510-0234,남,경채,대구,29,198.7,
강동훈,010-7798-0235,남,경채,대구,26,,
홍준서,010-6152-0236,남,인사,대구,26,222.5,
문지민,010-5588-0237,여,경채,부산,25,249.4,
고건우,010-9984-0238,남,경채,경북,28,208.5,
임하린,010-4683-0239,여,인사,대구,31,200.4,
류나은,010-6434-0240,여,일반,충남,30,228.7,
차정우,010-5476-0241,남,일반,대구,27,,
하다인,010-7934-0242,여,일반,경북,31,234.8,
