이름,연락처,성별,직렬,지역,나이,필기성적,조
차현우,010-2429-0001,남,구급,대구,26,180.5,
공우진,010-5384-0002,남,공채,경북,24,219.1,
엄하나,010-3692-0003,여,공채,대구,28,242.5,
현민재,010-9211-0004,남,공채,경북,22,290.2,
전하영,010-6403-0005,여,공채,경남,32,217.9,
문재민,010-3658-0006,남,구급,대구,27,,
이동훈,010-6112-0007,남,공채,경북,24,240.9,2
우서준,010-1829-0008,남,구급,대구,28,142.7,
우서현,010-6567-0009,여,구급,대구,31,157.0,
류태현,010-9769-0010,남,공채,경북,21,257.8,
지기현,010-3532-0011,남,학과,충북,27,,
최준호,010-6758-0012,남,공채,충북,24,292.1,
강민재,010-9734-0013,남,구조,대구,32,157.4,
고성현,010-7446-0014,남,구급,강원,31,145.1,
차도윤,010-4348-0015,남,구급,대구,28,187.5,
한성민,010-1816-0016,남,공채,대구,29,230.3,
박소영,010-5058-0017,여,공채,경북,27,237.5,
안예린,010-7119-0018,여,구조,광주,29,,
임준호,010-3560-0019,남,구급,대구,24,164.6,
채서현,010-2127-0020,여,학과,경북,20,141.1,
조영민,010-1720-0021,남,공채,경북,20,292.1,
엄시현,010-1736-0022,남,학과,경북,20,188.9,3
류재민,010-1031-0023,남,학과,대구,30,177.6,
정상현,010-3472-0024,남,공채,강원,31,278.7,
남소영,010-4371-0025,여,공채,경북,27,221.4,
안태현,010-6128-0026,남,공채,경북,29,,
지준혁,010-9304-0027,남,공채,경북,28,236.3,
우예서,010-6780-0028,여,공채,대구,24,289.5,
손수아,010-1097-0029,여,학과,충남,25,157.2,
오정우,010-5353-0030,남,공채,경북,24,233.0,
양지민,010-1319-0031,여,공채,경남,29,267.6,
최소윤,010-7473-0032,여,공채,대구,29,232.4,
장지호,010-1734-0033,남,공채,대구,22,298.1,
조지호,010-9855-0034,남,공채,대구,27,,
문다인,010-2500-0035,여,공채,대구,30,204.7,
백하린,010-1933-0036,여,구조,전북,30,188.1,
최지훈,010-6739-0037,남,공채,대구,22,,
성세진,010-6959-0038,남,구급,광주,22,166.2,
전지후,010-4161-0039,남,공채,경북,31,,
지도현,010-5040-0040,남,공채,경북,22,242.2,
김태양,010-4968-0041,남,공채,대구,24,249.5,
현예준,010-6643-0042,남,공채,대구,30,287.6,
주재민,010-3083-0043,남,공채,광주,27,,1
방준영,010-3621-0044,남,공채,대구,23,274.3,
장동현,010-2425-0045,남,학과,대구,28,151.8,
천채원,010-5457-0046,여,공채,대구,24,247.5,
현태현,010-6975-0047,남,공채,전북,32,205.2,
최서영,010-8609-0048,여,공채,경북,23,,
김혜진,010-9313-0049,여,구조,대구,28,147.9,
김재민,010-8878-0050,남,공채,강원,32,236.9,
홍예서,010-2977-0051,여,구조,세종,28,,
유기현,010-7603-0052,남,구급,경북,31,166.2,
엄민재,010-5737-0053,남,구급,경북,20,,
방우진,010-8118-0054,남,구조,경기,21,,
전유준,010-4438-0055,남,공채,경북,21,268.7,
구영민,010-1262-0056,남,공채,경북,20,270.3,
권영민,010-2537-0057,남,구조,인천,25,160.1,
권지우,010-6086-0058,여,공채,경북,31,235.1,
권현우,010-2769-0059,남,공채,경북,31,264.0,
서준영,010-4098-0060,남,구조,세종,24,147.5,
김정우,010-2477-0061,남,구급,경북,24,172.5,
우도윤,010-2038-0062,남,구조,서울,32,194.7,
곽현수,010-6536-0063,남,학과,충북,20,141.6,2
곽지민,010-2807-0064,여,구조,인천,22,152.4,
하민준,010-9807-0065,남,공채,충북,30,284.6,
유지아,010-9518-0066,여,공채,대구,20,,
구우진,010-8449-0067,남,공채,제주,31,246.6,
전승현,010-2861-0068,남,공채,경북,23,,
안승민,010-1212-0069,남,구조,경북,26,,
서하은,010-4516-0070,여,공채,경북,23,254.8,
한혜진,010-2373-0071,여,학과,경북,27,179.1,
윤준서,010-1287-0072,남,학과,대구,28,141.1,
김지원,010-9450-0073,여,공채,대구,22,,
원지훈,010-7149-0074,남,공채,경북,28,,2
강예은,010-3692-0075,여,공채,대구,30,295.9,
장서준,010-6628-0076,남,공채,대구,23,249.1,
배은서,010-1768-0077,여,학과,전남,23,192.3,
엄도현,010-1150-0078,남,구조,대구,30,148.1,
주예준,010-5067-0079,남,학과,경북,22,146.5,
전민호,010-1740-0080,남,공채,경북,28,265.2,
남서영,010-9253-0081,여,공채,대구,24,250.7,
임지아,010-3607-0082,여,공채,대구,28,297.5,
한지후,010-8224-0083,남,공채,경북,22,206.4,
한지호,010-7089-0084,남,공채,대구,21,285.9,
하시우,010-2728-0085,남,공채,경북,26,249.4,
구승민,010-8478-0086,남,구조,광주,27,,
류준서,010-3974-0087,남,구급,경북,29,154.1,
진서영,010-2481-0088,여,구조,대구,25,167.5,4
진동훈,010-8257-0089,남,공채,대구,29,212.6,
천유나,010-5417-0090,여,공채,경북,23,223.4,
배시우,010-1499-0091,남,공채,대구,22,237.0,
현태민,010-6779-0092,남,공채,울산,25,297.0,
고태양,010-7378-0093,남,구조,대구,29,,
성지연,010-4633-0094,여,공채,전북,30,,
강재원,010-4771-0095,남,공채,경북,31,,
황서준,010-3402-0096,남,구조,대구,31,147.2,3
노지후,010-6647-0097,남,학과,대구,24,199.8,
심동현,010-3353-0098,남,공채,대구,28,,
류동훈,010-9435-0099,남,학과,경북,22,147.6,
하재민,010-5068-0100,남,구급,경북,21,198.6,
신채원,010-5318-0101,여,공채,대구,25,246.3,
홍지유,010-2699-0102,여,구조,경북,27,174.2,
송민준,010-3849-0103,남,구조,대구,30,187.7,
임채은,010-1256-0104,여,학과,대구,25,183.8,
남지후,010-7743-0105,남,구급,광주,28,165.2,5
백지훈,010-7819-0106,남,학과,대전,23,144.5,
현지아,010-4702-0107,여,구조,충남,27,165.5,
안동현,010-1184-0108,남,공채,대구,22,220.1,
이건우,010-3436-0109,남,구조,경북,20,193.0,5
지상현,010-5815-0110,남,구조,대구,26,,
한윤서,010-3620-0111,여,공채,경북,30,268.6,
방지호,010-9500-0112,남,공채,대구,31,258.1,
천하린,010-9332-0113,여,공채,경북,26,,
유승민,010-3129-0114,남,구조,경북,32,,
백은지,010-3085-0115,여,구급,대구,26,184.6,
배서연,010-7229-0116,여,공채,경북,28,271.9,
노건우,010-8230-0117,남,공채,대구,22,293.2,
한동현,010-1895-0118,남,학과,경북,22,176.9,
허성현,010-9432-0119,남,공채,대구,32,252.5,
양민준,010-2862-0120,남,공채,대구,22,291.4,
한성민,010-1807-0121,남,공채,경북,23,278.0,
고도현,010-2269-0122,남,구급,전북,25,143.7,
장동훈,010-5378-0123,남,공채,경북,20,258.6,
엄동현,010-2267-0124,남,구조,경북,25,142.2,
문지후,010-5830-0125,남,학과,경북,29,169.2,
현도윤,010-6463-0126,남,학과,대구,23,151.0,
손소윤,010-1320-0127,여,학과,대구,29,151.1,
강동현,010-1765-0128,남,공채,대구,28,287.4,
문준서,010-9615-0129,남,학과,경기,25,179.7,
노상현,010-7580-0130,남,공채,경북,28,287.5,
구현우,010-1011-0131,남,구급,경북,28,150.6,
백성민,010-8710-0132,남,공채,경북,26,,
진태현,010-1520-0133,남,공채,대구,21,218.6,
조지후,010-4516-0134,남,구급,강원,20,149.4,
현준영,010-4536-0135,남,구급,대구,30,192.9,
곽현우,010-4411-0136,남,구급,경북,30,185.6,1
고하영,010-2462-0137,여,공채,경북,32,254.7,
현민재,010-9449-0138,남,구급,경북,27,146.1,
양준서,010-4745-0139,남,구조,광주,30,194.1,
곽소윤,010-6014-0140,여,공채,대구,25,220.8,
구준호,010-8709-0141,남,구급,경북,27,157.3,
조태현,010-3046-0142,남,학과,대구,21,177.6,
심민호,010-8440-0143,남,공채,대구,26,255.7,
우현우,010-2237-0144,남,공채,경북,29,278.7,
장예은,010-9437-0145,여,구조,대구,30,,
고도현,010-7485-0146,남,공채,경남,32,230.4,
진하윤,010-8224-0147,여,공채,경북,27,219.5,
박시우,010-8303-0148,남,구급,대구,30,,
진준호,010-6053-0149,남,구급,경북,20,157.4,
남주원,010-3865-0150,남,학과,대구,25,191.5,
서서준,010-5639-0151,남,구조,대구,21,199.0,
하도현,010-1616-0152,남,구급,대구,32,181.6,
고우진,010-4461-0153,남,공채,대구,23,243.1,
우성현,010-8945-0154,남,구조,대구,24,,
임준서,010-2369-0155,남,구조,대구,24,,
류성현,010-1631-0156,남,공채,대구,22,,
방상현,010-9273-0157,남,공채,대구,32,206.2,
최지연,010-6818-0158,여,학과,경북,29,162.8,
양미진,010-7447-0159,여,공채,대구,30,,
민우진,010-8913-0160,남,공채,대구,26,280.0,
강시현,010-7932-0161,남,공채,대구,31,,
지하준,010-6884-0162,남,공채,경북,32,,
엄현우,010-5222-0163,남,공채,경북,23,235.1,
홍우진,010-3844-0164,남,공채,경북,28,,
정지혜,010-4251-0165,여,공채,경북,30,211.7,
송민호,010-7710-0166,남,공채,광주,29,220.0,
권영민,010-9835-0167,남,구급,경북,28,186.9,
진나은,010-7646-0168,여,공채,대구,28,236.3,
백영민,010-4951-0169,남,공채,대구,30,,
하수진,010-2028-0170,여,구조,대구,27,140.1,
양상현,010-8745-0171,남,공채,경북,26,285.4,
심승민,010-9594-0172,남,공채,경북,31,232.4,
강민지,010-2570-0173,여,학과,전북,32,193.3,
손수아,010-8069-0174,여,공채,충남,25,245.4,
김하영,010-3362-0175,여,공채,경북,28,224.3,3
우하은,010-2571-0176,여,구급,광주,25,141.4,
황민지,010-8376-0177,여,공채,경북,29,,
이시우,010-6679-0178,남,학과,대구,23,167.1,
엄태양,010-9380-0179,남,공채,대구,22,215.0,
황은서,010-2758-0180,여,구조,경기,26,142.4,
